majority,secondMajor,number,name,type,className,professorName,time,credit,maxCount,dayOfTheWeek/startTime/endTime/classroom,semester,year,grade
전필-소프트,복필-소프트,2150034401,운영체제,,가,조해현,3,3,50,"월 09:00-10:15 (정보과학관 21303)
월 10:30-11:45 (정보과학관 21303)",2학기,2025,3학년
전필-소프트,복필-소프트,2150034402,운영체제,,나,한승훈,3,3,46,"월 12:00-13:15 (미래관 20402)
월 13:30-14:45 (미래관 20402)",2학기,2025,3학년
전필-소프트,복필-소프트,2150034403,운영체제,,다,공영호,3,3,46,"월 09:00-10:15 (정보과학관 21304)
월 10:30-11:45 (정보과학관 21304)",2학기,2025,3학년
전필-소프트,복필-소프트,2150034404,운영체제,,라,공영호,3,3,49,"월 12:00-13:15 (정보과학관 21304)
월 13:30-14:45 (정보과학관 21304)",2학기,2025,3학년
전선-소프트,복선-소프트,2150028301,캡스톤디자인종합프로젝트1,EL+,가,이상준,3,3,26,화 목 18:00-19:15 (정보과학관 21303),2학기,2025,3학년
전선-소프트,복선-소프트,2150028302,캡스톤디자인종합프로젝트1,EL+,나,이상준,3,3,25,화 목 19:30-20:45 (정보과학관 21303),2학기,2025,3학년
전선-소프트,복선-소프트,2150028303,캡스톤디자인종합프로젝트1,영어,다,이수원,3,3,25,"수 15:00-16:15 (정보과학관 21403)
수 16:30-17:45 (정보과학관 21403)",2학기,2025,3학년
전선-소프트,복선-소프트,2150028304,캡스톤디자인종합프로젝트1,EL+,라,김영종,3,3,16,"월 18:00-19:15 (정보과학관 21303)
수 13:30-14:45 (정보과학관 21303)",2학기,2025,3학년
전선-소프트,복선-소프트,2150029801,SW융합세미나2,,,박광영,1,1,40,월 16:30-17:20 (정보과학관 21403),2학기,2025,4학년
전선-소프트,복선-소프트,2150029401,Technopreneur Lab,,,박광영,3,3,40,"월 13:30-14:45 (정보과학관 21403)
월 15:00-16:15 (정보과학관 21403)",2학기,2025,4학년
전선-소프트,복선-소프트,2150029501,UI/UX설계및실습,,,신원석,3,3,40,"목 09:00-10:15 (정보과학관 21101 (실습실))
목 10:30-11:45 (정보과학관 21101 (실습실))",2학기,2025,4학년
전선-소프트,복선-소프트,2150053201,머신러닝,EL+,,김창훈,3,3,50,"화 10:30-11:45 (정보과학관 21303)
수 10:30-11:45 (정보과학관 21304)",2학기,2025,4학년
전선-소프트,복선-소프트,2150029701,소프트웨어특강2,,,송상효,3,3,41,"화 09:00-10:15 (정보과학관 21204 (김선행강의실))
화 10:30-11:45 (정보과학관 21204 (김선행강의실))",2학기,2025,4학년
전선-소프트,복선-소프트,2150053301,캡스톤디자인종합프로젝트3,EL+,,이상준,3,3,25,화 목 21:00-22:15 (정보과학관 21303),2학기,2025,4학년
